#datetime;z_new_flow_RS
20190727T074259;0.26456
20190727T074359;0.26625
20190727T074459;0.26796
20190727T074559;0.2697
20190727T074659;0.27147
20190727T074759;0.27327
20190727T074859;0.27509
20190727T074959;0.27694
20190727T075059;0.27882
20190727T075159;0.28073
20190727T075259;0.28267
20190727T075359;0.28464
20190727T075459;0.28665
20190727T075559;0.28868
20190727T075659;0.29075
20190727T075759;0.29285
20190727T075859;0.29498
20190727T075959;0.29714
20190727T080059;0.29934
20190727T080159;0.30156
20190727T080259;0.30381
20190727T080359;0.3061
20190727T080459;0.30841
20190727T080559;0.31088
20190727T080659;0.31339
20190727T080759;0.31593
20190727T080859;0.31851
20190727T080959;0.32111
20190727T081059;0.32376
20190727T081159;0.32644
20190727T081259;0.32915
20190727T081359;0.33191
20190727T081459;0.3347
20190727T081559;0.33754
20190727T081659;0.34042
20190727T081759;0.34334
20190727T081859;0.34632
20190727T081959;0.34934
20190727T082059;0.35242
20190727T082159;0.35556
20190727T082259;0.35876
20190727T082359;0.36203
20190727T082459;0.36536
20190727T082559;0.36877
20190727T082659;0.37226
20190727T082759;0.37583
20190727T082859;0.37949
20190727T082959;0.38323
20190727T083059;0.38707
20190727T083159;0.39102
20190727T083259;0.39508
20190727T083359;0.39939
20190727T083459;0.40385
20190727T083559;0.40845
20190727T083659;0.41319
20190727T083759;0.41809
20190727T083859;0.42315
20190727T083959;0.42835
20190727T084059;0.43371
20190727T084159;0.43923
20190727T084259;0.44491
20190727T084359;0.45076
20190727T084459;0.45678
20190727T084559;0.46296
20190727T084659;0.4693
20190727T084759;0.4758
20190727T084859;0.48245
20190727T084959;0.48932
20190727T085059;0.49634
20190727T085159;0.50357
20190727T085259;0.511
20190727T085359;0.51854
20190727T085459;0.52626
20190727T085559;0.53414
20190727T085659;0.54218
20190727T085759;0.55034
20190727T085859;0.55853
20190727T085959;0.56676
20190727T090059;0.57512
20190727T090159;0.58372
20190727T090259;0.59233
20190727T090359;0.60095
20190727T090459;0.6096
20190727T090559;0.61826
20190727T090659;0.62694
20190727T090759;0.63569
20190727T090859;0.64446
20190727T090959;0.65326
20190727T091059;0.66208
20190727T091159;0.67091
20190727T091259;0.67974
20190727T091359;0.68857
20190727T091459;0.6974
20190727T091559;0.70622
20190727T091659;0.71506
20190727T091759;0.72397
20190727T091859;0.73296
20190727T091959;0.74202
20190727T092059;0.75116
20190727T092159;0.76039
20190727T092259;0.7697
20190727T092359;0.77912
20190727T092459;0.78864
20190727T092559;0.79826
20190727T092659;0.80799
20190727T092759;0.81782
20190727T092859;0.82788
20190727T092959;0.83805
20190727T093059;0.84833
20190727T093159;0.85871
20190727T093259;0.86917
20190727T093359;0.87972
20190727T093459;0.89037
20190727T093559;0.90107
20190727T093659;0.9118
20190727T093759;0.92257
20190727T093859;0.93332
20190727T093959;0.94405
20190727T094059;0.95473
20190727T094159;0.96534
20190727T094259;0.97586
20190727T094359;0.98628
20190727T094459;0.99658
20190727T094559;1.0068
20190727T094659;1.0169
20190727T094759;1.0268
20190727T094859;1.0366
20190727T094959;1.0463
20190727T095059;1.0558
20190727T095159;1.065
20190727T095259;1.0742
20190727T095359;1.0832
20190727T095459;1.092
20190727T095559;1.1006
20190727T095659;1.1091
20190727T095759;1.1174
20190727T095859;1.1255
20190727T095959;1.1334
20190727T100059;1.1411
20190727T100159;1.1485
20190727T100259;1.1556
20190727T100359;1.1625
20190727T100459;1.1692
20190727T100559;1.1755
20190727T100659;1.1816
20190727T100759;1.1874
20190727T100859;1.1928
20190727T100959;1.198
20190727T101059;1.2029
20190727T101159;1.2076
20190727T101259;1.212
20190727T101359;1.2162
20190727T101459;1.2201
20190727T101559;1.2239
20190727T101659;1.2275
20190727T101759;1.231
20190727T101859;1.2343
20190727T101959;1.2375
20190727T102059;1.2407
20190727T102159;1.2438
20190727T102259;1.2469
20190727T102359;1.25
20190727T102459;1.2532
20190727T102559;1.2565
20190727T102659;1.2597
20190727T102759;1.2629
20190727T102859;1.2662
20190727T102959;1.2694
20190727T103059;1.2726
20190727T103159;1.2758
20190727T103259;1.2791
20190727T103359;1.2823
20190727T103459;1.2855
20190727T103559;1.2886
20190727T103659;1.2918
20190727T103759;1.295
20190727T103859;1.2981
20190727T103959;1.3013
20190727T104059;1.3044
20190727T104159;1.3076
20190727T104259;1.3108
20190727T104359;1.314
20190727T104459;1.3172
20190727T104559;1.3204
20190727T104659;1.3234
20190727T104759;1.3265
20190727T104859;1.3295
20190727T104959;1.3324
20190727T105059;1.3352
20190727T105159;1.3382
20190727T105259;1.3411
20190727T105359;1.3437
20190727T105459;1.3463
20190727T105559;1.3487
20190727T105659;1.3511
20190727T105759;1.3535
20190727T105859;1.3558
20190727T105959;1.358
20190727T110059;1.3602
20190727T110159;1.3623
20190727T110259;1.3644
20190727T110359;1.3665
20190727T110459;1.3684
20190727T110559;1.3704
20190727T110659;1.3723
20190727T110759;1.3741
20190727T110859;1.3764
20190727T110959;1.3786
20190727T111059;1.3808
20190727T111159;1.3828
20190727T111259;1.3848
20190727T111359;1.3867
20190727T111459;1.3889
20190727T111559;1.391
20190727T111659;1.393
20190727T111759;1.395
20190727T111859;1.3969
20190727T111959;1.3989
20190727T112059;1.4008
20190727T112159;1.4027
20190727T112259;1.4045
20190727T112359;1.4063
20190727T112459;1.408
20190727T112559;1.4096
20190727T112659;1.4112
20190727T112759;1.4127
20190727T112859;1.4141
20190727T112959;1.4156
20190727T113059;1.4169
20190727T113159;1.4182
20190727T113259;1.4194
20190727T113359;1.4206
20190727T113459;1.4218
20190727T113559;1.4228
20190727T113659;1.4239
20190727T113759;1.4248
20190727T113859;1.4258
20190727T113959;1.4266
20190727T114059;1.4274
20190727T114159;1.4282
20190727T114259;1.4289
20190727T114359;1.4295
20190727T114459;1.4301
20190727T114559;1.4306
20190727T114659;1.431
20190727T114759;1.4314
20190727T114859;1.4316
20190727T114959;1.4318
20190727T115059;1.432
20190727T115159;1.4321
20190727T115259;1.4323
20190727T115359;1.4324
20190727T115459;1.4324
20190727T115559;1.4325
20190727T115659;1.4326
20190727T115759;1.4326
20190727T115859;1.4326
20190727T115959;1.4327
20190727T120059;1.4327
